iter	Passed	Remaining
189	1910	8145
190	1919	8129
191	1927	8111
192	1938	8107
193	1950	8103
194	1962	8100
195	1971	8086
196	1979	8070
197	1988	8052
198	1997	8041
199	2005	8021
200	2014	8009
201	2022	7989
202	2030	7973
203	2038	7954
204	2048	7943
205	2056	7926
206	2064	7909
207	2072	7891
208	2081	7876
209	2088	7858
210	2096	7840
211	2104	7822
212	2112	7806
213	2120	7787
214	2129	7776
215	2140	7768
216	2148	7750
217	2155	7733
218	2163	7715
219	2171	7697
220	2182	7692
221	2192	7682
222	2199	7664
223	2208	7650
224	2216	7633
225	2225	7621
226	2234	7608
227	2242	7592
228	2249	7574
229	2257	7558
230	2265	7541
231	2274	7528
232	2282	7512
233	2290	7498
234	2298	7482
235	2306	7467
236	2317	7459
237	2324	7442
238	2332	7426
239	2340	7410
240	2347	7393
241	2355	7379
242	2363	7362
243	2371	7347
244	2379	7331
245	2390	7325
246	2397	7310
247	2405	7294
248	2413	7278
249	2422	7267
250	2429	7250
251	2437	7234
252	2444	7218
253	2455	7212
254	2465	7202
255	2472	7186
256	2482	7176
257	2489	7159
258	2498	7149
259	2506	7133
260	2515	7121
261	2522	7105
262	2531	7093
263	2538	7077
264	2547	7065
265	2555	7050
266	2564	7039
267	2571	7024
268	2580	7012
269	2591	7006
270	2599	6991
271	2606	6976
272	2614	6961
273	2622	6947
274	2629	6933
275	2640	6926
276	2647	6911
277	2655	6896
278	2663	6883
279	2671	6868
280	2679	6856
281	2687	6841
282	2695	6828
283	2702	6814
284	2710	6800
285	2718	6785
286	2728	6777
287	2735	6763
288	2743	6749
289	2751	6735
290	2759	6722
291	2766	6708
292	2775	6696
293	2783	6683
294	2791	6671
295	2799	6658
296	2807	6645
297	2815	6633
298	2823	6620
299	2835	6616
300	2843	6602
301	2851	6589
302	2860	6581
303	2872	6575
304	2880	6563
305	2888	6551
306	2896	6538
307	2904	6524
308	2911	6511
309	2920	6500
310	2928	6487
311	2936	6475
312	2945	6465
313	2953	6451
314	2962	6442
315	2970	6429
316	2978	6417
317	2986	6404
318	2993	6390
319	3001	6378
320	3009	6366
321	3019	6357
322	3027	6345
323	3035	6332
324	3042	6319
325	3050	6307
326	3058	6294
327	3066	6282
328	3074	6270
329	3082	6258
330	3093	6253
331	3101	6240
332	3110	6230
333	3118	6217
334	3126	6206
335	3134	6194
336	3142	6183
337	3198	6265
338	3213	6266
339	3232	6274
340	3241	6264
341	3249	6251
342	3258	6241
343	3265	6228
344	3275	6217
345	3282	6204
346	3291	6194
347	3298	6180
348	3308	6172
349	3316	6159
350	3325	6149
351	3335	6140
352	3343	6128
353	3351	6115
354	3359	6103
355	3367	6091
356	3375	6079
357	3382	6066
358	3390	6054
359	3398	6041
360	3407	6031
361	3414	6018
362	3423	6007
363	3431	5995
364	3439	5983
365	3448	5974
366	3456	5962
367	3464	5949
368	3473	5939
369	3480	5926
370	3489	5915
371	3496	5903
372	3504	5891
373	3512	5879
374	3520	5867
375	3528	5855
376	3537	5845
377	3544	5832
378	3552	5821
379	3560	5809
380	3568	5797
381	3577	5787
382	3587	5778
383	3597	5771
384	3605	5759
385	3614	5749
386	3622	5737
387	3631	5727
388	3639	5716
389	3648	5706
390	3656	5695
391	3665	5684
392	3672	5672
393	3680	5661
394	3688	5649
395	3697	5639
396	3705	5627
397	3716	5621
398	3724	5609
399	3731	5597
400	3739	5585
401	3746	5573
402	3754	5561
403	3761	5549
404	3771	5541
405	3780	5530
406	3788	5520
407	3798	5511
408	3809	5504
409	3817	5493
410	3826	5483
411	3834	5472
412	3843	5462
413	3850	5450
414	3862	5444
415	3870	5433
416	3878	5422
417	3885	5410
418	3893	5399
419	3901	5388
420	3909	5376
421	3917	5365
422	3924	5353
423	3932	5342
424	3941	5332
425	3948	5320
426	3956	5309
427	3964	5297
428	3972	5287
429	3980	5276
430	3988	5265
431	3999	5258
432	4007	5247
433	4014	5235
434	4022	5224
435	4030	5213
436	4037	5201
437	4045	5190
438	4053	5179
439	4061	5169
440	4070	5159
441	4079	5149
442	4086	5137
443	4094	5126
444	4102	5116
445	4109	5105
446	4117	5093
447	4127	5085
448	4134	5074
449	4145	5067
450	4153	5056
451	4162	5046
452	4170	5036
453	4180	5027
454	4187	5015
455	4196	5006
456	4204	4995
457	4212	4985
458	4220	4974
459	4229	4964
460	4236	4953
461	4245	4943
462	4252	4932
463	4261	4922
464	4268	4911
465	4281	4905
466	4288	4895
467	4296	4884
468	4304	4873
469	4312	4862
470	4319	4851
471	4327	4841
472	4335	4830
473	4343	4820
474	4351	4809
475	4360	4799
476	4368	4790
477	4376	4779
478	4385	4769
479	4393	4759
480	4400	4748
481	4409	4738
482	4419	4731
483	4428	4720
484	4436	4710
485	4443	4699
486	4451	4689
487	4459	4678
488	4467	4668
489	4475	4657
490	4482	4646
491	4490	4636
492	4497	4625
493	4505	4615
494	4513	4604
495	4522	4595
496	4530	4584
497	4538	4574
498	4545	4563
499	4555	4555
500	4563	4545
501	4570	4534
502	4580	4525
503	4587	4514
504	4596	4505
505	4603	4494
506	4612	4485
507	4621	4476
508	4629	4466
509	4637	4455
510	4645	4445
511	4653	4435
512	4661	4425
513	4668	4414
514	4677	4404
515	4687	4396
516	4694	4386
517	4702	4375
518	4711	4366
519	4718	4355
520	4726	4345
521	4734	4335
522	4742	4325
523	4750	4315
524	4758	4305
525	4766	4295
526	4778	4288
527	4787	4279
528	4796	4270
529	4805	4261
530	4813	4251
531	4823	4242
532	4831	4232
533	4840	4223
534	4847	4213
535	4855	4203
536	4863	4193
537	4871	4183
538	4879	4173
539	4887	4163
540	4895	4153
541	4906	4145
542	4917	4138
543	4925	4128
544	4934	4119
545	4942	4109
546	4951	4100
547	4963	4093
548	4970	4083
549	4981	4076
550	4992	4068
551	5001	4058
552	5008	4048
553	5017	4039
554	5028	4031
555	5035	4021
556	5042	4010
557	5050	4000
558	5059	3991
559	5066	3980
560	5074	3970
561	5082	3961
562	5090	3951
563	5098	3941
564	5107	3932
565	5116	3923
566	5123	3912
567	5131	3902
568	5139	3892
569	5147	3883
570	5155	3873
571	5163	3863
572	5170	3853
573	5178	3843
574	5186	3833
575	5195	3824
576	5203	3814
577	5212	3805
578	5221	3796
579	5229	3786
580	5236	3776
581	5246	3768
582	5253	3757
583	5261	3747
584	5268	3737
585	5276	3727
586	5284	3718
587	5292	3708
588	5299	3698
589	5308	3688
590	5315	3678
591	5323	3669
592	5331	3659
593	5340	3650
594	5348	3640
595	5356	3630
596	5365	3621
597	5372	3611
598	5382	3603
599	5390	3593
600	5397	3583
601	5406	3574
602	5413	3564
603	5421	3554
604	5429	3544
605	5437	3535
606	5444	3525
607	5453	3516
608	5460	3506
609	5469	3496
610	5476	3486
611	5485	3477
612	5493	3468
613	5502	3458
614	5509	3449
615	5520	3441
616	5528	3431
617	5538	3423
618	5547	3414
619	5555	3404
620	5564	3396
621	5572	3386
622	5582	3378
623	5590	3368
624	5598	3358
625	5605	3349
626	5614	3339
627	5621	3330
628	5630	3320
629	5638	3311
630	5646	3301
631	5656	3293
632	5664	3284
633	5672	3274
634	5680	3265
635	5687	3255
636	5695	3245
637	5703	3236
638	5711	3226
639	5719	3217
640	5729	3208
641	5739	3200
642	5749	3192
643	5758	3183
644	5766	3173
645	5776	3165
646	5783	3155
647	5794	3147
648	5802	3138
649	5810	3128
650	5817	3118
651	5825	3109
652	5833	3099
653	5841	3090
654	5849	3081
655	5857	3071
656	5865	3062
657	5874	3053
658	5881	3043
659	5889	3033
660	5897	3024
661	5904	3014
662	5912	3005
663	5919	2995
664	5929	2987
665	5938	2978
666	5947	2969
667	5955	2959
668	5964	2950
669	5971	2941
670	5980	2932
671	5988	2922
672	5997	2914
673	6007	2905
674	6015	2896
675	6023	2886
676	6033	2878
677	6045	2871
678	6054	2862
679	6064	2853
680	6072	2844
681	6080	2835
682	6088	2825
683	6097	2816
684	6104	2807
685	6112	2798
686	6121	2789
687	6129	2779
688	6137	2770
689	6145	2760
690	6156	2753
691	6165	2744
692	6175	2735
693	6183	2726
694	6192	2717
695	6199	2707
696	6210	2699
697	6218	2690
698	6226	2681
699	6234	2672
700	6245	2663
701	6255	2655
702	6266	2647
703	6277	2639
704	6287	2631
705	6299	2623
706	6310	2615
707	6317	2605
708	6325	2596
709	6333	2587
710	6344	2578
711	6353	2569
712	6361	2560
713	6371	2552
714	6378	2542
715	6387	2533
716	6395	2524
717	6403	2515
718	6411	2505
719	6420	2496
720	6428	2487
721	6435	2478
722	6443	2468
723	6452	2459
724	6460	2450
725	6468	2441
726	6475	2431
727	6484	2422
728	6494	2414
729	6502	2404
730	6512	2396
731	6520	2387
732	6530	2378
733	6538	2369
734	6547	2360
735	6555	2351
736	6564	2342
737	6572	2333
738	6581	2324
739	6589	2315
740	6597	2306
741	6605	2296
742	6613	2287
743	6621	2278
744	6630	2269
745	6639	2260
746	6647	2251
747	6655	2242
748	6663	2233
749	6671	2223
750	6679	2214
751	6691	2206
752	6703	2198
753	6711	2189
754	6723	2181
755	6731	2172
756	6739	2163
757	6748	2154
758	6758	2145
759	6766	2136
760	6775	2128
761	6784	2118
762	6792	2109
763	6799	2100
764	6809	2091
765	6816	2082
766	6824	2073
767	6832	2063
768	6841	2055
769	6849	2045
770	6857	2036
771	6865	2027
772	6874	2018
773	6881	2009
774	6889	2000
775	6897	1991
776	6905	1982
777	6916	1973
778	6923	1964
779	6931	1954
780	6939	1945
781	6952	1938
782	6959	1928
783	6968	1919
784	6978	1911
785	6986	1902
786	6994	1893
787	7003	1884
788	7011	1874
789	7021	1866
790	7031	1857
791	7042	1849
792	7054	1841
793	7065	1833
794	7076	1824
795	7087	1816
796	7098	1808
797	7111	1800
798	7121	1791
799	7132	1783
800	7144	1774
801	7155	1766
802	7166	1758
803	7177	1749
804	7188	1741
805	7201	1733
806	7213	1725
807	7221	1716
808	7230	1707
809	7238	1697
810	7249	1689
811	7257	1680
812	7264	1670
813	7272	1661
814	7280	1652
815	7287	1643
816	7295	1634
817	7303	1624
818	7311	1615
819	7319	1606
820	7329	1597
821	7337	1588
822	7346	1579
823	7353	1570
824	7360	1561
825	7368	1552
826	7375	1542
827	7383	1533
828	7392	1524
829	7399	1515
830	7408	1506
831	7415	1497
832	7424	1488
833	7432	1479
834	7440	1470
835	7448	1461
836	7456	1452
837	7466	1443
838	7475	1434
839	7484	1425
840	7491	1416
841	7499	1407
842	7506	1398
843	7514	1388
844	7521	1379
845	7529	1370
846	7537	1361
847	7545	1352
848	7554	1343
849	7562	1334
850	7572	1325
851	7580	1316
852	7588	1307
853	7595	1298
854	7605	1289
855	7614	1281
856	7622	1271
857	7633	1263
858	7641	1254
859	7650	1245
860	7658	1236
861	7666	1227
862	7676	1218
863	7685	1209
864	7693	1200
865	7703	1192
866	7712	1183
867	7720	1174
868	7729	1165
869	7736	1156
870	7745	1147
871	7754	1138
872	7763	1129
873	7771	1120
874	7780	1111
875	7788	1102
876	7796	1093
877	7803	1084
878	7812	1075
879	7820	1066
880	7828	1057
881	7836	1048
882	7844	1039
883	7852	1030
884	7860	1021
885	7868	1012
886	7876	1003
887	7886	994
888	7896	985
889	7905	977
890	7915	968
891	7924	959
892	7932	950
893	7942	941
894	7953	933
895	7965	924
896	7973	915
897	7981	906
898	7989	897
899	8000	888
900	8008	879
901	8016	870
902	8025	862
903	8035	853
904	8045	844
905	8054	835
906	8062	826
907	8070	817
908	8078	808
909	8087	799
910	8096	790
911	8104	782
912	8112	773
913	8120	764
914	8128	755
915	8136	746
916	8144	737
917	8152	728
918	8159	719
919	8168	710
920	8176	701
921	8184	692
922	8192	683
923	8200	674
924	8208	665
925	8216	656
926	8224	647
927	8232	638
928	8240	629
929	8248	620
930	8257	612
931	8265	603
932	8272	594
933	8280	585
934	8288	576
935	8297	567
936	8307	558
937	8315	549
938	8322	540
939	8330	531
940	8338	522
941	8346	513
942	8354	504
943	8362	496
944	8369	487
945	8378	478
946	8386	469
947	8393	460
948	8402	451
949	8410	442
950	8418	433
951	8426	424
952	8433	415
953	8444	407
954	8452	398
955	8460	389
956	8468	380
957	8475	371
958	8484	362
959	8492	353
960	8499	344
961	8507	336
962	8515	327
963	8523	318
964	8538	309
965	8548	300
966	8555	291
967	8563	283
968	8572	274
969	8579	265
970	8590	256
971	8599	247
972	8610	238
973	8622	230
974	8635	221
975	8647	212
976	8659	203
977	8669	195
978	8680	186
979	8687	177
980	8696	168
981	8704	159
982	8715	150
983	8723	141
984	8731	132
985	8739	124
986	8746	115
987	8754	106
988	8762	97
989	8770	88
990	8778	79
991	8785	70
992	8793	61
993	8801	53
994	8810	44
995	8817	35
996	8826	26
997	8837	17
998	8845	8
999	8856	0
